message,sentiment,category
The same as any other kind of human trafficking. ALL of it is bad. Don't just focus on one aspect.,,Aware
It's important to note that your video is incorrect on multiple levels and your page is more than likely run by RadFems who want to make people believe that all sex workers are 1. Female and 2. Sex trafficking victims. You have an agenda based on the perceived victimization of women and moral purity  Most sex workers in San Francisco are doing so by choice and are perfectly content to be doing so,,Misunderstanding
So traffic in this Road,,Irrelevant
Itâ€™s true women still are exploited by forcing them into pornograhy and as sex objects but they also lead in forced labor where working conditions are beyond cruel. While men...their numbers are nearly just as bad. And add organ harvesting and medical experimentation on helpless unwilling victims. The situation is dire and being overlooked.,,Aware
Arrest anyone who does this to anyone childðŸ˜§,,Other
Do u have a # I can call,,Information
Ricco Thompson Sr.,,Share/Tag
Some of them just like walking the blade yâ€™all mainey,,Misunderstanding
First thing I seen: â€œstop the traffikâ€ and the bridge... great way to pitch false advertisement.,,Irrelevant
Cant afford for them hahaha,,Irrelevant
Image of three sets of praying hands,,Aware
Angel Au time to move,,Shocked
"I heard about this, Santa Clara/ Cupertino/ and San Jose...",,Information
Nikki Chang Crystal Lee Brina Vue,,Share/Tag
"Check in with all the massage shops in San Jose. When you see three of them on the same block, that should be an indication of some thing illegal going on.",,Information
"It's called ""Man Jose"" for a reason...",,Aware
Christian Bozarth,,Share/Tag
Elizabeth Naranjo,,Share/Tag
Fernanda De Velasco be careful babe,,Aware
Get rid of the refugees illegals and stop letting these terrorists into our country!,,Prejudiced
Just cruise down Monterey Road and you'll see them in plain view.,,Information
Its crazy how they just roll ppl just roll up and scoop a hoe with Hella traffic on that stripðŸ˜³,,Information
Ramanjot Sidhu,,Share/Tag
Democrats....,,Irrelevant
It's not Democrats only! have you taken note on the POS that's at the WH?,,Irrelevant
"Since I was a kid in San Jose Downtown San Jose I've been seeing women getting pimped out and putting themselves out there on the tracks. San Jose has been pimping in since been pimping since been pimpin. Monterey Road Southside Drive, Monterey Road from downtown 1st Street to keys Alameda and sunol, Alameda Newhall, Eastside Alum Rock Jackson White Road McKee. To name a few. All of a sudden this is an issue lol Pussy has been selling since the start of this Nation. It's fucked up that young girls are manipulated and intimidated into this. It's also sad that many women see this as a career choice. Good luck and shutting it down. I think police can make some bust and clean up in the area for a second but in the long run Pimpin ain't never going to be dead and some women ain't never going to stop selling their pussy because they say that's what it's got to be to take care of them self. #sadStateofAffairs",,Information
"How about doing something about homelessness, thatâ€™s more pressing than this.",,Angry
ðŸ‘ðŸ¾,,Other
"Legalize it. Removes the pimps and other criminal elements in the equation. Educate the sex workers to improve their selves and leave that industry. If they don't want a career change, tax them like any business. Fuck the moral police! Solve the fucking reasons why a woman choose to sell their bodies and not judge their reasons.",,Misunderstanding
Its like in the days of Soddom and Gomorrah you cant do anything but repent. Eventually they will all be destroyed at the end history is just repeating itself.,,Irrelevant
"Graham, David, Ed ðŸ˜ˆðŸ‘ðŸ†",,Share/Tag
Pip Chan,,Share/Tag
It is important to clarify that a sex trafficking victim is forced into the sex industry against his or her will by some measure of deception or coercion for the purpose of exploitation. There is no element of choice for the trafficked person.,,Other
Gisselle Varas,,Prejudiced
ðŸ˜¢,,Other
The best thing going is pimping and hoeing,,Misunderstanding
President TRUMP need to send all this people from other countries   back and do  all that in there COUNTRY I know it was here with all the black people that likes to pimp the girls but at least they were adults these are children they're selling now UGH,,Prejudiced
Raychel Bariao,,Share/Tag
Well some of those women are living the nice lifestyle charging $200 - $300 a fuck so how can you feel bad for them it's not like they can run or anything,,Misunderstanding
My nieghborhood been the spot bitch ass liberal city doesnt do shit about it they let Monterey be fuckin bastards yet willow glen is perfect thats how democrats operate.,,Aware
Fuck this stupid fuckin city,,Irrelevant
People should have more common sense then to just give in to being groomed!,,Misunderstanding
HOW CAN THIS BE STOP WHO KNOWS IT'S NOT GOOD AT ALL ALL KIDS ARE ANGELS,,Wants to help/learn
,,
So sad. We need to do what we can to stop this.,Positive,Wants to help/learn
Tagged Azeem Ayyaz,Neutral,Share/Tag
"Peterborough is the capital of the Eastern European workers.Yes,they are the victims of their own people!",Positive,Aware
U are the same 😂,Neutral,Other
"Really,how is that?I am not Eastern European like you mate ;-)",Neutral,Other
Definitely not Gypsy !,Neutral,Other
How are they??,Neutral,Other
That's Wisbech and Boston too.,Neutral,Information
"Because many Brits refuse to do the work. People will always move to where there is work. If the locals don't want to do the work and want to sit and get dole payments, then they cannot bitch, moan and whinge when others move in for the jobs.",Neutral,Misunderstanding
The polish shop on the triangle pay some cash in hand and not even the minimum wage,Neutral,Information
Maybe it is a polish shop but probably not running by polish people....,Neutral,Other
It is,Neutral,Other
"That's not slavery, is it.",Neutral,Aware
We're all slaves to the taxman to provide for those who won't graft to earn a wage.,Neutral,Prejudiced
what we were talking about the other day xxxx,Positive,Aware
Tagged Seamus Meaney,Neutral,Share/Tag
Is this a recruitment ad for Amazon?????,Neutral,Irrelevant
��,Neutral,Irrelevant
Tagged Alex Pulley,Neutral,Share/Tag
��😂😂,Neutral,Irrelevant
Tagged Mary Wakefield. 😂😂😂 read the video and then this comment.,Neutral,Irrelevant
Tagged Lyndon Coupland lol,Neutral,Share/Tag
Tagged Oli Tuck spot on,Neutral,Irrelevant
You nailed it🤣,Neutral,Irrelevant
Oh no 😂 😂 😂 😂 😂 😂,Neutral,Irrelevant
Tagged Laura Randall,Neutral,Share/Tag
What on earth,Neutral,Shocked
We're slaves,Neutral,Wants to help/learn
That's so sad,Neutral,Shocked
I'm born and bred in Peterborough but I hate the place now it's a boring shit hole,Neutral,Irrelevant
It's not all about the foreigners.... I know first hand plenty of these cunts are British with British slave's!!! Hang the fuckin lot of them!!!!,Neutral,Aware
Gypsies have been known for this as well,Neutral,Aware
And what about those who abuse our system,Neutral,Misunderstanding
More bricks!!!  Ben Clarke,Neutral,Irrelevant
 Keep that brick there!! keep that brick there!!,Neutral,Irrelevant
Wegtable magic,Neutral,Irrelevant
Tagged Modestas Milius,Neutral,Irrelevant
Tagged Modestas Milius,Neutral,Irrelevant
once I had some wegtables in wegas with walarie,Neutral,Irrelevant
what a cunt,Neutral,Irrelevant
Tagged John Donovan,Neutral,Share/Tag
That's fucked up right on our doorstep,Neutral,Shocked
Tagged Catia David Cowling,Neutral,Share/Tag
Tagged Nathan Cross,Neutral,Share/Tag
Modern day slavery is going to work each day. We are all wage slaves. Even more so since our wages have been frozen for at least 5yrs & the cost of living keeps rising.,Neutral,Irrelevant
Shut up,Neutral,Other
Really David?,Neutral,Other
You're not wrong Aidan but there's a big difference between the wage slavery of capitalism and the coercion and abuse that characterises what we term 'modern slavery',Neutral,Aware
 I was working in Trampston a few years ago and I was felling a slave the targets was very demand they control everything the time you going toilet the time on your break not a pleasant place to work I left there as I found a better job but many remain there. Also now they build 2 towers inside of warehouse where the managers stay on and looking the workers from above dear me looks like concentration camps,Neutral,Information
That's not slavery. That's rubbish working conditions. You could have walked away at any point.,Neutral,Aware
Tagged Shannon Ingham,Neutral,Share/Tag
Yea and still claiming benefits,Neutral,Prejudiced
Probably true,Positive,Aware
Load of bollocks!,Negative,Disagrees
Tagged Darren Wayman Lewis Mitchell Christopher McCulloch 😂😂😂,Neutral,Share/Tag
Tagged Joe Moore Ethan Kirby Aidan Ball,Neutral,Share/Tag
"Human trafficking is a huge problem throughout the EU, on the continent the sex trade, in the UK victims of gang masters, some from Britain, but many also Polish, it is a huge problem which does not get enough coverage in the press. It is a disgrace.",Positive,Aware
If only you could imagine how it actually works.. You wouldn't dare to comment like that. This comment is my answer to majority of comments on this post.,Positive,Aware
Tagged Tylia Lily Bagnall. Remember me saying about the nail bars!,Neutral,Share/Tag
I'm one of them,Neutral,Irrelevant
Except you're paid well! 😂,Neutral,Other
Didn't know this.x,Positive,Shocked
Tagged Rhianna-Tracy Louise,Neutral,Share/Tag
Where can i get one,Neutral,Irrelevant
Ptown Makita Mott Tasha Smith Olivia Jones,Neutral,Share/Tag
"No one asked or wanted them here, and then the promise of a country offering all on a plate goes foul, tough shit. You made your bed, now fuck off back to the shithole you crawled out from lol! As for British citizens being exploited that's another matter, if they have genuine problems!!",Negative,Prejudiced
Tagged Sarah Kathrine Kurys Chloe Gregory,Neutral,Share/Tag
I feel this website is badly put together. Not enough facts about why people are foolish enough to put themselves into this kind of trap etc. More facts/ evidence is required.,Negative,Other
We would.like to help stop slavery how do we do This??😇🇬🇧🇬🇧🇬🇧,Positive,Wants to help/learn
Nothing new,Neutral,Aware
I thought it was gypos.,Neutral,Prejudiced
Jennie Dalton are you trapped in this?,Neutral,Share/Tag
I remember working in some peterborough factories and being told the immigrants are only on £3 an hour. Dont tell them we get £5ph. That was 15 years ago,Neutral,Information
"Were they paying tax? Probably not , probably illegally employed.",Neutral,Other
"Oh yeah, most likely then",Neutral,Other
So at least it being tax free probably gabe them more wage. But they wouldnt have been taxed £100 a week (how much less they were payed) so its still taking advantage of them.,Neutral,Aware
Tagged Sri Naga Praharsha Sabbavarapu,Neutral,Share/Tag
"Never experienced this because thankfully I grew in a developed country, in a structured family and had opportunity to get a higher education and make a career. But if anyone thinks that modern slavery doesn’t exists you must be living in a bubble or you’re the ones that only look at their own belly button and the rest is nothing. Sadly this kind of emigration benefits the economy of the developed countries... exists all over Europe, do you think some local farmer can sell their products at competitive prices that you will want to buy paying well to that emigrants??? The problem is a lot of them accept poorly working conditions, long working hours and underpaid salary because back home they were starving, didn’t have nothing and were desperate. Does it make it right if someone exploit vulnerable people like that?!",Positive,Aware
As someone else has said travellers have been doing it for years!,Neutral,Aware
You can start with companies like Amazon who use the benefit system to fund their slavery like practices,Neutral,Irrelevant
Tagged Brandon Michael look at the area were living in,Neutral,Information
Hmm,Neutral,Other
so why are things still do exspensive especially in Cambridge the piss takers,Neutral,Irrelevant
They would rather be here illegally on low wages than return home. That isn't slavery by any meaning of the word. Putting 'modern' in front of it doesn't make it so. That's all.,Negative,Disagrees
"Seriously ? So how do you tell the difference Paul between those who are on low pay by choice and those who have been threatened, had passports taken away or bitten up and with no english. Slavery isn't about choice, it is about being tricked and finding yourself in a no way out situation, often psychologically broken too. People are promised one thing and they find something completely different when they arrive in a foreign country, with no money at all.",Positive,Aware
"Slavery isn't about being paid. By choice or by circumstance. It doesn't matter. As for the rest of what you say, it's special pleading. You shouldn't arrive in a foreighn country with no money for no other interest than money. That's stupid and wrong. There is no good reason 'not' to go to your consulate and/or the authorities if someone has your passport, other than you are here illegally and would rather the low wages. The British taxpayer should not shoulder this problem at all further than a crackdown on immigration.",Neutral,Prejudiced
What about the people who are victims of human trafficking Paul?,Positive,Aware
 I would say that's a job for immigration. Different to what the OP is talking about. Seems our immigration policies are allowing a lot of this behaviour.,Neutral,Misunderstanding
"Paul Neilson well said, amen to that.",Neutral,Misunderstanding
"Ok....so if you were 7 years old, no parents, in a war torn country being blown the sh!t out of by the US or UK or being shot at from arms made and sold by said countries but someone came up to you and said i can take you somewhere safe where you will have a home, food and a bed.... you would stay Paul Neilson and Stella Prentice?",Neutral,Aware
Peterborough is a big muislim area and they do this shit wherever they go this government turning a blind eye to it,Neutral,Prejudiced
This wasn't an issue years ago just goes to show how the liberal pc brigade are helping our country move forward fucking knobs the lot of them,Neutral,Misunderstanding
We’re all slaves to the pound😕,Neutral,Irrelevant
We’re all slaves to someone serving others. It’s like a fecking merry go round.,Neutral,Misunderstanding
Yep could had told you this,Neutral,Aware
The amount of ignorance in these comments is embarrassing!,Neutral,Aware
"What a surprise I live in the Fens, and spot the English during the day time, and most BMW'S ate owned by eastern European's litianians etc.",Neutral,Aware
We're the real slaves. Taxed and lied to by a corrupt government who have actively encouraged a cheap labour economy based upon mass immigration. Our values and cultural heritage are being deliberately eroded and if we dare voice any concerns we're immediately branded as racists.,Neutral,Other
No your not. The real slave is the 10 year old girl forcibly removed from her small village in China Africa or a dozen other countries. Smuggled to Europe feed drugs till there addicted and then sold for sex to pay of the debt they owe the traffickers. That’s the sick truth of it.,Positive,Aware
If our borders weren't left open due to the eu or if our government had a back bone and closed them maybe modern day slavery wouldn't be an issue In our small country,Neutral,Misunderstanding
As far as I'm aware your borders are still controlled even for eu citizens? And it might be a surprise but getting to an island should be harder than getting from Germany to France. Your issues didn't happened because of eu but because of really weak border control. Even when you should and are allowed to have one.,Neutral,Irrelevant
Well said Piotr,Neutral,Other
Hey sis I live in Cambridgeshire. Well nobody slave them eastern European comes like many like millions of people people of Cambridgeshire voted them to leave so why would they say it's slavery I can't explain any better than that anyone can come and leave if they don't like it.,Negative,Misunderstanding
When the heck did the people of Cambridgeshire vote for the Eastern Europeans to leave? What a lot of bollocks.,Neutral,Other
"Modern slavery .... what a term that is, it describes the majority of the work force for the last 7 yrs in this country regardless of a person's nationality",Negative,Misunderstanding
"If you think that you have no frigging clue of ""modern slavery"".",Positive,Aware
nor do you lol,Neutral,Other
"I can't help feeling that many of the comments posted here are left by some very ignorant people, it's not the fault of the Eu or the eastern Europeans or any other nationality. A lot of these come to the UK with the promise of a better life, more money and conditions and are tricked into it. It's not their fault. The best way to tackle it is to keep an eye out on it and report your sudpicions",Positive,Aware
Tagged Mateusz Olszewski Dalvin Matereke when it said car wash I just bursted our laughing 😂😂😂😂,Negative,Share/Tag
Tagged Amelia Le Moël,Neutral,Share/Tag
��,Positive,Shocked
Well what do we expect with our ridiculous open door mass immigration. We should have a census early and find out who lives here and deport all the illegal immigrants. Only then can we tackle this problem.,Neutral,Prejudiced
And there was me thinking 20% tax was modern slavery 😂,Neutral,Irrelevant
No but want to know and who.Tell me,Positive,Wants to help/learn
"Perhaps if supermarkets like Tesco were to pay fairly for farmers produce, they in turn would pay their workers more. In a transparent way. But Tesco is too busy filling their pockets and stiffing suppliers. Greedy bastards.",Neutral,Aware
Human trafficking is also happening in Peterborough with social services treating vulnerable women like suppliers of babies to abduct and traffic ibto the adoption industry for caash incentives,Neutral,Misunderstanding
There's not enough adoptees to kids so that's you idea out the window 🙄 if there was we wouldn't have a foster care system at breaking point,Neutral,Other
